Bee #,Nonadecane,Hexadecanolide,Octadecanal,Heneicosane,Octadecadienoic Acid,Octadecanolide,Octadecenolide,Eicosanal,Tricosene,Tricosane,Unknown RI2360,Eicosanolide,Eicosenolide,Pentacosene,Pentacosane,Unknown RI2496,11/13-methylpentacosane?,Docosene,Unknown RI2568,Hexacosene,Unknown RI2620,Docosenolide,Docosanolide,Heptacosadiene,Unknown RI2687,Heptacosene,Heptacosane,Unknown RI2739,Octacosane,Tetracosanolide,Tetracosenolide,Nonacosene,3-Methyl-3-Butenyl Docosanoate,Nonacosane,Hexacosenolide,Hexacosanolide,Triacontane,3-Methyl-3-Butenyl Tetracosanoate,Tritriacontane,Pentatriacontene,Heptatriacontadiene,Heptatriacontene,Unknown RI2155,11-Methyltricosane,Alkane_total,Alkene_total,Methylalkane_total,Lactone_total
720,0.002,0.033,0.001,0.034,0,0.521,0.017,0,0.025,1.726,0.02,0.772,0.217,0.168,2.467,0.081,0.025,0.012,0,0.013,0.026,0.109,0.59,0.05,0.05,0.768,1.835,0.007,0.015,0.045,0.035,0.148,0.015,0.061,0.002,0.003,0.001,0,0,0.005,0.009,0.002,0,0.006,6.141,1.199,0.031,2.342
721,0.002,0.03,0,0.049,0,0.1,0.002,0,0.017,1.621,0.019,0.378,0.116,0.006,3.011,0.065,0.042,0.005,0.004,0,0.026,0.038,0.215,0,0.027,0.071,2.01,0.009,0.012,0,0.033,0,0,0.087,0,0,0.001,0,0.002,0.068,0.094,0.076,0,0.009,6.795,0.338,0.051,0.91
723,0.001,0.031,0,0.04,0,1.015,0.055,0,0.018,2.642,0.02,0.792,0.248,0.006,1.958,0.044,0.023,0.009,0.014,0,0.031,0.093,0.532,0,0.026,0.048,3.545,0.009,0.019,0.026,0.036,0.002,0,0.092,0.001,0,0.001,0,0.002,0.083,0.116,0.108,0,0.009,8.3,0.389,0.032,2.829
724,0.004,0.08,0.003,0.171,0.007,6.264,4.735,0.014,0.058,4.399,0.036,4.762,7.193,0.653,5.941,1.562,0.119,0.678,0.02,0.153,0.098,6.243,4.71,0.143,1.021,2.382,5.402,0.466,0.629,3.33,4.117,0.832,2.832,0.4,0.227,0.195,0.036,1.147,0.038,0.04,0.078,0.023,0.004,0.013,17.02,5.041,0.132,41.855
725,0.002,0.031,0,0.056,0,2.05,0.255,0.001,0.018,2.114,0.02,1.404,0.617,0.004,1.049,0.04,0.009,0.01,0.019,0,0.034,0.241,0.975,0,0.027,0.031,2.38,0.003,0.019,0.064,0.055,0,0.003,0.035,0.001,0,0.001,0,0.001,0.051,0.134,0.079,0,0.007,5.657,0.328,0.017,5.693
726,0.004,0.036,0.002,0.041,0,3.221,0.505,0.002,0.021,2.636,0.022,2.12,1.242,0.014,3.101,0.117,0.01,0.025,0.093,0.005,0.164,0.517,1.641,0.014,0.032,0.048,2.525,0.004,0.041,0.185,0.142,0,0.013,0.068,0.003,0.002,0.002,0.01,0.003,0.087,0.144,0.056,0.002,0.007,8.419,0.414,0.017,9.614
727,0.002,0.033,0,0.039,0,3.242,0.327,0.001,0.033,2.408,0.022,3.116,1.797,0.187,2.756,0.189,0.043,0.03,0.001,0.01,0.03,1.187,2.765,0.054,0.084,0.621,1.85,0.016,0.116,0.541,0.355,0.157,0.1,0.062,0.008,0.009,0.002,0.031,0.003,0.012,0.024,0.007,0,0.011,7.236,1.133,0.054,13.379
728,0.002,0.032,0.001,0.033,0,0.048,0,0,0.033,1.841,0.02,0.085,0.017,0.239,4.672,0.131,0.06,0.015,0,0.011,0.024,0.015,0.118,0.113,0.049,0.482,1.829,0.01,0.007,0,0.031,0.046,0.001,0.046,0.001,0,0.001,0,0,0.035,0.051,0.017,0,0.009,8.431,1.042,0.07,0.348
729,0.004,0.031,0.001,0.04,0,1.879,0.161,0.001,0.052,3.358,0.021,2.226,0.966,0.407,3.725,0.131,0.034,0.017,0,0.009,0.026,0.575,1.858,0.206,0.073,1.01,2.187,0.01,0.054,0.242,0.147,0.166,0.031,0.073,0.004,0.003,0.003,0.004,0.001,0.01,0.027,0.003,0.001,0.012,9.443,1.907,0.047,8.093
730,0.005,0.04,0.003,0.067,0.001,4.263,0.698,0.004,0.023,2.868,0.023,3.198,1.92,0.017,3.215,0.197,0.004,0.058,0.025,0.008,0.038,1.038,2.819,0.009,0.042,0.033,3.468,0.012,0.118,0.58,0.262,0.008,0.059,0.117,0.006,0.011,0.003,0.035,0.005,0.134,0.248,0.162,0.004,0.006,9.865,0.699,0.01,14.835
731,0.004,0.032,0.001,0.046,0,2.325,0.566,0.002,0.046,3.476,0.022,3.591,2.914,0.421,2.922,0.298,0.023,0.033,0.001,0.015,0.029,1.508,3.168,0.093,0.181,0.895,2.237,0.025,0.137,0.661,0.379,0.166,0.201,0.079,0.009,0.01,0.003,0.026,0.003,0.012,0.041,0.006,0.002,0.012,8.906,1.727,0.035,15.164
732,0.004,0.033,0.001,0.046,0,2.996,0.382,0.001,0.019,1.223,0.02,2.13,0.766,0.006,4.823,0.148,0.024,0.032,0.185,0.006,0.215,0.406,2.962,0.013,0.029,0.035,4.417,0.025,2.934,0.14,0.235,0.04,0,2.692,0.021,0.024,1.486,0.5,0.218,0.215,0.308,0.129,0.001,0.004,17.842,0.804,0.028,10.096
733,0.001,0.034,0,0.057,0.001,5.568,1.32,0.004,0.027,1.647,0.026,4.122,4.642,0.019,4.503,0.878,0.07,0.056,0.251,0.016,0.574,2.466,3.929,0.028,0.109,0.14,3.304,0.051,0.257,1.209,0.687,0.014,0.128,0.368,0.011,0.016,0.007,0.07,0.013,0.075,0.15,0.086,0,0.011,10.156,0.61,0.081,24.003
814,0.001,0.045,0.001,0.083,0.001,5.707,1.44,0.003,0.026,3.77,0.025,3.923,3.293,0.021,5.464,0.606,0.052,0.198,0.025,0.023,0.061,1.903,3.779,0.014,0.07,0.112,4.466,0.051,0.248,1.174,0.582,0.015,0.13,0.269,0.012,0.02,0.006,0.091,0.01,0.073,0.232,0.077,0,0.011,14.318,0.792,0.063,21.878
815,0,0.029,0,0.05,0,0.055,0,0,0.031,3.912,0.021,0.073,0.016,0.274,2.397,0.078,0.034,0.006,0,0.007,0.024,0.005,0.1,0.04,0.052,0.767,2.371,0.011,0.009,0,0.033,0.229,0.012,0.064,0.002,0,0.002,0,0.001,0.008,0.082,0.009,0,0.015,8.806,1.451,0.05,0.314
816,0.002,0.038,0.002,0.072,0.001,5.006,0.62,0.004,0.027,3.41,0.024,3.472,2.475,0.026,3.303,0.655,0.019,0.08,0.045,0.011,0.06,1.46,3.129,0.012,0.083,0.115,2.898,0.022,0.164,0.789,0.422,0.023,0.092,0.093,0.013,0.015,0.003,0.032,0.006,0.082,0.275,0.115,0.002,0.007,9.951,0.767,0.025,17.44
817,0.002,0.286,0.003,0.236,0.007,6.788,5.05,0.026,0.065,5.879,0.051,4.468,7.18,0.143,4.369,3.392,0.068,0.956,0.053,0.114,0.091,5.837,4.59,0.105,0.552,0.148,5.976,0.213,0.55,2.686,3.296,0.137,1.44,0.324,0.048,0.077,0.015,1.846,0.059,0.143,0.191,0.169,0.004,0.023,17.41,2.171,0.091,40.305
